The System must allow persistent defaults for data entry where desirable.,,,,,,,,,,,,,,,,,1
"These defaults should include: 7 0 user?de?nable values; 0 values same as previous item; 0 values derived from context, e.g.",,,,,,,,,,,,,,,,,1
"Where the System employs a graphical user interface, it must allow users to customise it.",,,,,,,,,,,,,,,,,2
"Customisation should include, but need not be limited to the following changes: Usability 1.",,,,,,,,,,,,,,,,,1
The user interfaces should be designed to make them user?intuitive.,,,,,,,,,,,,,,,,,1
The user interfaces of the system should comply with Standard ISO 9241.,,,,,,,,,,,,,,,,,1
ICT accessibility: ISO 9241?20 shall be the standard for guidance on ICT accessibility.,,,,,,,,,,,,,,,,,1
Application user interfaces to meet its requirements and recommendations.,,,,,,,,,,,,,,,,,1
User interfaces should meet its requirements and recommendations.,,,,,,,,,,,,,,,,,1
Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,,,,,,,,,,,,,,,,,1
General guidance on achieving self?descriptiveness is given in ISO 9241?110.,,,,,,,,,,,,,,,,,1
Offering altemative access paths: Alternative access paths for navigating to a speci?c unit of content should be offered to support different navigation strategies.,,,,,,,,,,,,,,,,,1
"If a splash screen is used, a navigation option to skip it should be offered.",,,,,,,,,,,,,,,,,2
Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop?up windows should only be opened if this supports the user?s task.,,,,,,,,,,,,,,,,,1
"Opening new windows can distract, confuse or impede users for a variety of reasons.",,,,,,,,,,,,,,,,,2
They could make it cognitively more dif?cult to understand the navigation structure with negative effects on both usability and accessibility.,,,,,,,,,,,,,,,,,1
They also require additional user actions for closing unwanted windows.,,,,,,,,,,,,,,,,,1
This may be done by placing important information at the top and providing links to information that is further down the page.,,,,,,,,,,,,,,,,,1
Horizontal scrolling should be avoided wherever possible.,,,,,,,,,,,,,,,,,1
Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices.,,,,,,,,,,,,,,,,,1
