"short delivery, damaged goods, underperformance of service etc.",,,,,,,,,,,,,,,,,1
Proposed Remedy is the Buyer?s suggested solution to the variance.,,,,,,,,,,,,,,,,,1
This may be in response to a Receipt Advice that contains variance.,,,,,,,,,,,,,,,,,1
"For example, the Seller may instruct the Buyer to return the goods, await collection of the goods (by the Seller or his carrier) or destroy the goods.",,,,,,,,,,,,,,,,,1
Rectification Advice is the Buyer?s cost code reference (in cases where this has actually been communicated to the Seller).,,,,,,,,,,,,,,,,,2
"4.10 Self Billed Invoice A Self Billed Invoice is sent by Accounts Payable (Buyer) to Accounts Receivable (Seller), obviating the need for an Invoice as described above.",,,,,,,,,,,,,,,,,1
"Self Billed Invoice Credit Note is sent by Accounts Receivable (Seller) to Accounts Payable (Buyer), confirming that the Buyer owes money to the Seller.",,,,,,,,,,,,,,,,,1
It may be used to rectify errors and/or variances in the invoicing process.,,,,,,,,,,,,,,,,,1
"Figure 19. Credit Note Debit Note is sent from Accounts Payable (Buyer) to Accounts Receivable (Seller), specifying that the Seller owes money to the Buyer.",,,,,,,,,,,,,,,,,1
A Debit Note obviates the need for the Seller to create a Credit Note.,,,,,,,,,,,,,,,,,1
Debit Note DebitNote Remittance Advice is sent by Accounts Payable (Buyer) to Accounts Receivable (Seller) notifying payment.,,,,,,,,,,,,,,,,,1
It provides the recipient with a reference for payments made i.e.,,,,,,,,,,,,,,,,,1
Remittance Advice Payment Reference is the reference for the payment transaction made via BACS or SWIFT.,,,,,,,,,,,,,,,,,1
Payment Reference Date is the date of the payment reference.,,,,,,,,,,,,,,,,,1
Payment Expected Date is the date on which payment is expected to be made.,,,,,,,,,,,,,,,,,1
Abbreviation Meaning BACS Banks Automated Clearing System.,,,,,,,,,,,,,,,,,1
D&B D&B (formerly Dun & Bradstreet).,,,,,,,,,,,,,,,,,2
EFT Electronic Funds Transfer.,,,,,,,,,,,,,,,,,2
GDSC Government Data Standards Catalogue.,,,,,,,,,,,,,,,,,2
GLN Global Location Number.,,,,,,,,,,,,,,,,,2
GPC Government Procurement Card.,,,,,,,,,,,,,,,,,2
GTIN Global Trade Identification Number.,,,,,,,,,,,,,,,,,2
GUID Globally Unique Identifier.,,,,,,,,,,,,,,,,,2
HMCE Her Majesty?s Customs and Excise.,,,,,,,,,,,,,,,,,2
HTML Hypertext Markup Language.,,,,,,,,,,,,,,,,,2
INCOTERM International Commercial Term.,,,,,,,,,,,,,,,,,2
ISO International Standards Organisation.,,,,,,,,,,,,,,,,,2
OeE Office of the e-Envoy (as was).,,,,,,,,,,,,,,,,,2
OEM Original Equipment Manufacturer.,,,,,,,,,,,,,,,,,2
OGC Office of Government Commerce.,,,,,,,,,,,,,,,,,2
PO Purchase Order.,,,,,,,,,,,,,,,,,2
RFQ Request For Quotation.,,,,,,,,,,,,,,,,,2
SVVI FT Society of Worldwide Interbank Financial Telecommunications.,,,,,,,,,,,,,,,,,2
T&C Terms and Conditions.,,,,,,,,,,,,,,,,,2
UML Universal Modelling Language.,,,,,,,,,,,,,,,,,2
UN United Nations.,,,,,,,,,,,,,,,,,2
UNSPSC United Nations Standard Product and Services Code.,,,,,,,,,,,,,,,,,2
URI Universal Resource Identifier.,,,,,,,,,,,,,,,,,2
UUID Universally Unique Identi?er.,,,,,,,,,,,,,,,,,2
VAT Value Added Tax.,,,,,,,,,,,,,,,,,2
W30 World V\?de Web Consortium.,,,,,,,,,,,,,,,,,2
XML extensible Markup Language.,,,,,,,,,,,,,,,,,2
These requirements are not limited to any industry sector.,,,,,,,,,,,,,,,,,1
The approach provides a common ?Ianguage? for describing eProcurement documents that is modular and extensible to specialised business contexts.,,,,,,,,,,,,,,,,,1
This speci?cation does not include the XML schema to be used.,,,,,,,,,,,,,,,,,1
No assumptions are made (other than good business practice) about how the internal systems at the Buyer and the Seller are designed or work; these systems are treated as ?black boxes?.,,,,,,,,,,,,,,,,,1
"carriers, banks and fiscal authorities; - message transport and security; - data protection and retention rules; - the application of public sector purchasing policy.",,,,,,,,,,,,,,,,,1
eProcurement is a many-to-many electronic data interchange (EDI) problem on a large scale and requires both the sender and the receiver to interpret each and every data element in precisely the same way.,,,,,,,,,,,,,,,,,1
"In practice, these Documents are likely to be introduced incrementally, starting with one or two Documents, such as Purchase Order and/or Invoice, and adding additional services as required.",,,,,,,,,,,,,,,,,1
Such an incremental approach demands that all Documents (those adopted earlier and later) represent the same things in a common way.,,,,,,,,,,,,,,,,,1
"0 Note: for a revision, the whole Document may need to be re-issued and manual intervention may be required; ?cancellation? o cancellation of original Document in its entirety.",,,,,,,,,,,,,,,,,1
"1.2 Benefits These requirements support several Government initiatives, including: .",,,,,,,,,,,,,,,,,1
The greatest benefits accrue when information persists through the purchasing cycle without re- keying and with manual intervention only where needed for business reasons.,,,,,,,,,,,,,,,,,1
"One example is the ?three-way match? between Purchase Order, goods receipt and Invoice, usually performed in the accounts payable function before an Invoice is paid.",,,,,,,,,,,,,,,,,1
Automating the three-way match may reduce substantially the end-to-end costs of in the Buyer?s back of?ce.,,,,,,,,,,,,,,,,,1
"Cross-Government eProcurement standards also benefit Sellers, particularly small to medium- sized enterprises (SMEs).",,,,,,,,,,,,,,,,,1
"This speci?cation provides a clear ?stake in the ground? for Sellers, for their trade with Government and, potentially, for trade across the private sector.",,,,,,,,,,,,,,,,,1
"Similarly, a common Government standard reduces the need for software and service providers to cater for multiple speci?cations.",,,,,,,,,,,,,,,,,1
"A working group compiled the basic requirements with representation from across Government, local authorities and the National Health Service.",,,,,,,,,,,,,,,,,1
"These requirements have been re?ned through public consultation, meetings with IT suppliers and experts involved in relevant international standards and trade associations.",,,,,,,,,,,,,,,,,1
The method used is based on the OeE?s e-Service Development Framework (e-SDF); see www.qovtalk.gov.uk/schemastandards/eservices.as|o.,,,,,,,,,,,,,,,,,1
It is assumed that the reader is familiar with UML.,,,,,,,,,,,,,,,,,1
"- classes are colour coded for convenience, with colours indicating the parent Package of each class: 0 Party pink 0 Document cyan 0 Line green 0 Item purple.",,,,,,,,,,,,,,,,,2
chapter 3 of this specification covers common classes which are re-used in more than one Document.,,,,,,,,,,,,,,,,,1
- chapter 4 covers individual Document speci?cations.,,,,,,,,,,,,,,,,,1
"For this reason, each Document specification description contains only descriptions of the attributes that are specific to that Document.",,,,,,,,,,,,,,,,,1
"All other elements are optional, although some may be required to support certain business processes.",,,,,,,,,,,,,,,,,1
The scope for this specification is the procurement of goods and services for public sector organisations.,,,,,,,,,,,,,,,,,1
Ordering includes Purchase Orders and responses.,,,,,,,,,,,,,,,,,1
"Ful?lment includes delivery/despatch notification, receipt (including variances) and Seller's proposed rectification of any problems.",,,,,,,,,,,,,,,,,1
"Accounting includes Invoices (including Self Billed Invoices) Credit Notes, Debit Notes, Statements and Remittance Advice.",,,,,,,,,,,,,,,,,1
"2.1 Interactions Each business process involves the exchange of information between the Buyer and the Seller, using a number of Documents (see Table 1).",,,,,,,,,,,,,,,,,1
RFQ is a request from the Buyer to the Seller to quote terms and conditions (Request for Quotation) under which the Seller is willing to supply specific goods or services.,,,,,,,,,,,,,,,,,1
2.1.2 Ordering The Documents included are: Purchase Order is sent by the Buyer to tell the Seller that the sender wishes to purchase goods and/or services.,,,,,,,,,,,,,,,,,2
"|t acknowledges that the Purchase Order has been received and that it will be fulfilled in total, in part or not at all.",,,,,,,,,,,,,,,,,2
It may also give additional information about specific delivery.,,,,,,,,,,,,,,,,,2
The Seller may use this Document to notify the Buyer of shipping details via a third party carrier and to notify partial or complete delivery of a Purchase Order.,,,,,,,,,,,,,,,,,2
Invoice is a Value Added Tax (VAT) Document.,,,,,,,,,,,,,,,,,2
"For more information regarding HMCE requirements for self billing, see www.hmce.qov.uk/forms/notices/700-62.htm Self Billed Invoice is a VAT Document.",,,,,,,,,,,,,,,,,2
Credit Note is a VAT Document.,,,,,,,,,,,,,,,,,2
A Debit Note precludes the need for a Sellerto raise a Credit Note.,,,,,,,,,,,,,,,,,2
Debit Note is a VAT Document.,,,,,,,,,,,,,,,,,2
"2.2 Parties A Party is any person, organisation or computer system that sends or receives goods, services or information.",,,,,,,,,,,,,,,,,1
A role is a job done by a particular Party.,,,,,,,,,,,,,,,,,2
One Party may play a number of roles in a Document.,,,,,,,,,,,,,,,,,2
"Every Document has a sender and receiver, one of which is a Buyer role, the other a Seller role.",,,,,,,,,,,,,,,,,1
"The Party types, ro|es names and Documents sent and received are shown in Table 2.",,,,,,,,,,,,,,,,,1
"The Purchasing Manager is not involved in other transactions; if the Purchasing Manager requests or makes a purchase, that individual adopts the role of Originator or Order Point respectively.",,,,,,,,,,,,,,,,,2
"Originator also known as requisitioner, has the original demand for each Item of goods and/or services.",,,,,,,,,,,,,,,,,1
