The user is then taken to the View/Update Item screen 3.5.,1;;;
Clicking the category name for an item takes the user to the View/Update Item screen for that item 3.6.,1;;;
All items in the split item list are saved in the inventory when the user confirms the split 3.6.1.The original item is updated,1;;;
Item is updated in QuickBooks POS,0;;;
2. Adjust Item Quantity 2.1.,0;;;
Item is updated in the inventory 2.2.,0;;;
Item is updated in QuickBooks POS,1;;;
3. Split Inventory Item 3.1.,1;;;
Original item is updated in the inventory 3.2.,0;;;
Original item is updated in QuickBooks POS 3.3.,1;;;
New items are updated in the inventory 3.4.,1;;;
New items are updated in QuickBooks POS,1;;;
4. View Inventory Item History None 3.6.8. Open Issues: None,1;;;
The system should assist in the task of pricing a new inventory item by making pricing suggestions to the user when adding to or modifying an item in the inventory.,0;;;
Use Case Dependencies,0;;;
User modifies item data,0;;;
The following price suggestion configuration parameters are available: 3.1.,0;;;
Number of months of historical price information to include when calculating price recommendations.,0;;;
3.7.7. Post-Condition(s): 1. Price suggestion information is displayed on the screen,0;;;
Inventory Management users should be able to view all past and current acquisitions. Receiving Associates use this function to locate an expected acquisition when receiving a donation at the loading dock.,0;;;
Pickup and Decon crews may also use this function to initiate the process of receiving items while in the truck, on their way to the receiving dock.,1;;;
Off acquisitions are not typically pre-scheduled as Pick Up and Decon acquisitions except for those submitted through the organizational website.,0;;;
Administrator Director Manager Customer Service Representative,0;;;
1. User accesses the acquisitions screen 2.,0;;;
The screen displays a list of all acquisitions, latest ones at the top of the list 3. User may optionally filter the acquisitions displayed on the screen by changing filtering options,1;;;
4. User clicks on an acquisition record 5. System display the details for that acquisition, including expected items 3.8.5. Alternative Flows:,1;;;
User creates new Drop Off acquisition in the CRM system 1.3.,0;;;
User returns to the acquisitions screen and sees the newly created Drop Off acquisition 2. User can use a bar code scanner to scan the acquisition ticket generated at customer service 3.8.6. Business Rules: 1.,0;;;
The acquisitions screen should display: 1.1.,1;;;
Acquisition Number 1.2.,0;;;
9. The system should provide a link from the acquisitions view in the Inventory Management System to the acquisition creation screen in CRM for easy access.,0;;;
10. Inventory Management users should be granted permission to create new Drop,1;;;
Off acquisitions in CRM in order to access that functionality.,1;;;
A donor in possession of a valid acquisition number can proceed to the receiving dock where the items to be donated will be received and processed, and a donation receipt will be generated.,0;;;
